Generated with:

import os
from idautils import *
from idaapi import *
from idc import *

for segea in Segments():
    for ea in Functions(segea, SegEnd(segea)):
        eaEnd = FindFuncEnd(ea)
        startOffset = idaapi.get_fileregion_offset(ea)
        endOffset = idaapi.get_fileregion_offset(eaEnd)
        
        print str(hex(ea))[:-1] + ", " + str(startOffset) + ", " + str(endOffset)

Needs adding to build.ps1 with the first column as the selector for the inputs to mdasm.exe

0x800336a4, 147108, 147204
0x80033704, 147204, 147332
0x80033784, 147332, 149384
0x80033f88, 149384, 149536
0x80034020, 149536, 149712
0x800340d0, 149712, 150776
0x800345c0, 150976, 151384
0x800348f4, 151796, 151984
0x800349b0, 151984, 152088
0x80034a18, 152088, 152188
0x80034a7c, 152188, 152308
0x80034af4, 152308, 152456
0x80034b88, 152456, 152568
0x80034bf8, 152568, 152628
0x80034c44, 152644, 152660
0x80034c54, 152660, 152668
0x80034c5c, 152668, 152756
0x80034cb4, 152756, 152772
0x80034cc4, 152772, 152788
0x80034cd4, 152788, 152880
0x80034d30, 152880, 153064
0x80034e10, 153104, 153260
0x80034f08, 153352, 153608
0x80035008, 153608, 153628
0x8003501c, 153628, 153812
0x800350d4, 153812, 153996
0x8003518c, 153996, 154596
0x800353e4, 154596, 154988
0x8003556c, 154988, 155388
0x800356fc, 155388, 157492
0x80035f34, 157492, 157692
0x8003603c, 157756, 157932
0x800360ec, 157932, 158600
0x80036388, 158600, 159416
0x800366b8, 159416, 160272
0x80036a10, 160272, 160576
0x80036b40, 160576, 160676
0x80036ba4, 160676, 162088
0x80037128, 162088, 162332
0x8003721c, 162332, 163092
0x80037514, 163092, 163328
0x80037600, 163328, 163576
0x800376f8, 163576, 163820
0x800377ec, 163820, 163872
0x80037820, 163872, 164580
0x80037ae4, 164580, 164708
0x80037b64, 164708, 165080
0x80037cd8, 165080, 165148
0x80037d1c, 165148, 165220
0x80037d64, 165220, 165304
0x80037dc8, 165320, 165336
0x80037dd8, 165336, 165440
0x80037e40, 165440, 165600
0x80037ee0, 165600, 165676
0x80037f2c, 165676, 165736
